bollinger_period,bollinger_std,bollinger_width_threshold,rsi_upper,rsi_lower,atr_multiplier,final_value
10,0.5,0.07,60,25,1,1000.0
10,0.5,0.07,60,25,1.2,1000.0
10,0.5,0.07,60,25,1.5,1000.0
10,0.5,0.07,60,25,2,1000.0
10,0.5,0.07,60,30,0.5,1000.0
10,0.5,0.07,60,30,0.8,1000.0
10,0.5,0.07,60,30,1,1000.0
10,0.5,0.07,60,30,1.2,1000.0
10,0.5,0.07,60,30,1.5,1000.0
10,0.5,0.07,60,30,2,1000.0
10,0.5,0.07,60,35,0.5,1003.920036315918
10,0.5,0.07,60,35,0.8,1003.920036315918
10,0.5,0.07,60,35,1,1003.920036315918
10,0.5,0.07,60,35,1.2,1003.920036315918
10,0.5,0.07,60,35,1.5,1003.920036315918
10,0.5,0.07,60,35,2,1003.920036315918
10,0.5,0.07,60,40,0.5,1004.5043591278618
10,0.5,0.07,60,40,0.8,1004.6941945990823
10,0.5,0.07,60,40,1,1004.6561538498656
10,0.5,0.07,60,40,1.2,1004.4913818503685
10,0.5,0.07,60,40,1.5,1005.6700143814087
10,0.5,0.07,60,40,2,1005.6700143814087
10,0.5,0.07,65,25,0.5,1000.0
10,0.5,0.07,65,25,0.8,1000.0
10,0.5,0.07,65,25,1,1000.0
10,0.5,0.07,65,25,1.2,1000.0
10,0.5,0.07,65,25,1.5,1000.0
10,0.5,0.07,65,25,2,1000.0
10,0.5,0.07,65,30,0.5,1000.0
10,0.5,0.07,65,30,0.8,1000.0
10,0.5,0.07,65,30,1,1000.0
10,0.5,0.07,65,30,1.2,1000.0
10,0.5,0.07,65,30,1.5,1000.0
10,0.5,0.07,65,30,2,1000.0
10,0.5,0.07,65,35,0.5,1003.920036315918
10,0.5,0.07,65,35,0.8,1003.920036315918
10,0.5,0.07,65,35,1,1003.920036315918
10,0.5,0.07,65,35,1.2,1003.920036315918
10,0.5,0.07,65,35,1.5,1003.920036315918
10,0.5,0.07,65,35,2,1003.920036315918
10,0.5,0.07,65,40,0.5,1004.5043591278618
10,0.5,0.07,65,40,0.8,1004.6941945990823
10,0.5,0.07,65,40,1,1004.6561538498656
10,0.5,0.07,65,40,1.2,1004.4913818503685
10,0.5,0.07,65,40,1.5,1005.6700143814087
10,0.5,0.07,65,40,2,1005.6700143814087
10,0.5,0.07,70,25,0.5,1000.0
10,0.5,0.07,70,25,0.8,1000.0
10,0.5,0.07,70,25,1,1000.0
10,0.5,0.07,70,25,1.2,1000.0
10,0.5,0.07,70,25,1.5,1000.0
10,0.5,0.07,70,25,2,1000.0
10,0.5,0.07,70,30,0.5,1000.0
10,0.5,0.07,70,30,0.8,1000.0
10,0.5,0.07,70,30,1,1000.0
10,0.5,0.07,70,30,1.2,1000.0
10,0.5,0.07,70,30,1.5,1000.0
10,0.5,0.07,70,30,2,1000.0
10,0.5,0.07,70,35,0.5,1003.920036315918
10,0.5,0.07,70,35,0.8,1003.920036315918
10,0.5,0.07,70,35,1,1003.920036315918
10,0.5,0.07,70,35,1.2,1003.920036315918
10,0.5,0.07,70,35,1.5,1003.920036315918
10,0.5,0.07,70,35,2,1003.920036315918
10,0.5,0.07,70,40,0.5,1004.5043591278618
10,0.5,0.07,70,40,0.8,1004.6941945990823
10,0.5,0.07,70,40,1,1004.6561538498656
10,0.5,0.07,70,40,1.2,1004.4913818503685
10,0.5,0.07,70,40,1.5,1005.6700143814087
10,0.5,0.07,70,40,2,1005.6700143814087
10,0.5,0.07,75,25,0.5,1000.0
10,0.5,0.07,75,25,0.8,1000.0
10,0.5,0.07,75,25,1,1000.0
10,0.5,0.07,75,25,1.2,1000.0
10,0.5,0.07,75,25,1.5,1000.0
